image,method,ssim,psnr,entropy,mean_diff,score,risk_flag
dataset/train/aneurysm/30_11.jpg,CLAHE,0.8277783794705267,25.457391891799293,3.8777839034952812,0.03234850615262985,0.5601638398555332,True
dataset/train/aneurysm/31_11.jpg,CLAHE,0.8235088617057011,24.681550305728074,3.907185335589874,0.03464018926024437,0.5529156948351701,True
dataset/train/aneurysm/32_11.jpg,CLAHE,0.8239749781850833,24.589160689710894,3.9068635966468896,0.03456373140215874,0.5526097069503753,True
dataset/train/aneurysm/33_11.jpg,CLAHE,0.8282001021308433,24.82431655943614,3.905890262667138,0.03363708034157753,0.5563185343537229,True
dataset/train/aneurysm/34_11.jpg,CLAHE,0.8270032222033716,24.655277432612813,3.963686936158701,0.03406986966729164,0.5546193017639044,True
dataset/train/aneurysm/35_11.jpg,CLAHE,0.8248530291563871,24.23980320575723,3.9568313860582545,0.03528748080134392,0.5508078376524682,True
dataset/train/aneurysm/36_11.jpg,CLAHE,0.8295904339040999,24.1990239701722,3.90450876980369,0.03458672761917114,0.5530720152492489,True
dataset/train/aneurysm/37_11.jpg,CLAHE,0.8322289941523995,25.00273573256031,4.012125973222705,0.031808506697416306,0.5597692101320784,True
dataset/train/aneurysm/38_11.jpg,CLAHE,0.8271655011544697,24.236710138501536,4.030742370851351,0.03432563692331314,0.5521378840235814,True
dataset/train/aneurysm/39_11.jpg,CLAHE,0.8203967432323358,23.91884030540608,3.9920232691668875,0.03621533885598183,0.546468345677408,True
dataset/train/aneurysm/40_11.jpg,CLAHE,0.8155609829200482,23.577460938730567,3.9715245184592503,0.03767630457878113,0.5417099961766514,True
dataset/train/aneurysm/41_11.jpg,CLAHE,0.8141355361310425,23.56927030792088,3.9888540050180086,0.03775613382458687,0.5409321631481292,True
dataset/train/aneurysm/42_11.jpg,CLAHE,0.8125195239661074,23.5361004629568,4.023991749276828,0.03793889656662941,0.5398885854474686,True
dataset/train/aneurysm/43_11.jpg,CLAHE,0.8128570519734242,23.341104088981556,4.01724304551617,0.03855250030755997,0.5387646504590894,True
dataset/train/aneurysm/44_11.jpg,CLAHE,0.8146284105286667,23.27922898482155,4.022712738255464,0.038763273507356644,0.5392369244717913,True
dataset/train/aneurysm/45_11.jpg,CLAHE,0.8130479570231494,23.23884050442501,3.962174588013229,0.03889118507504463,0.5381787845231158,True
dataset/train/aneurysm/46_11.jpg,CLAHE,0.8151254215223009,23.318288944404152,3.8760918573367595,0.03838445618748665,0.539795553190078,True
dataset/train/aneurysm/47_11.jpg,CLAHE,0.8114951206058802,23.366870114390625,3.933061696364999,0.03833518549799919,0.5382817438896841,True
dataset/train/aneurysm/48_11.jpg,CLAHE,0.8074451866434046,23.442095412287152,4.011906430845938,0.03789544478058815,0.5367960768393076,True
dataset/train/aneurysm/49_11.jpg,CLAHE,0.8101622371844626,23.587857324846265,3.986867694684186,0.03726744279265404,0.5391547739827781,True
dataset/train/aneurysm/50_11.jpg,CLAHE,0.8108609105087593,23.668821213135367,3.919934530703557,0.03677051141858101,0.5400892802494756,True
dataset/train/aneurysm/80_1.jpg,Heatmap_Jet,0.3753362643343108,10.561369322134047,5.887443791208586,0.2369462549686432,0.20364709710623102,True
dataset/train/aneurysm/80_10.jpg,Heatmap_Jet,0.3753362643343108,10.561369322134047,5.887443791208586,0.2369462549686432,0.20364709710623102,True
dataset/train/aneurysm/80_11.jpg,Heatmap_Jet,0.16197640593823173,6.814694109991787,5.812764159005629,0.35950011014938354,0.049976345599189884,True
dataset/train/aneurysm/80_11.jpg,LUT_Autumn,0.8229923295780625,19.837062404919664,5.67272638470901,0.07056204974651337,0.5164061292692466,True
dataset/train/aneurysm/80_12.jpg,Heatmap_Jet,0.3753362643343108,10.561369322134047,5.887443791208586,0.2369462549686432,0.20364709710623102,True
dataset/train/aneurysm/80_2.jpg,Heatmap_Jet,0.07545517657141498,10.935107777891748,5.934579259588274,0.22240068018436432,0.05885809891618511,True
dataset/train/aneurysm/80_3.jpg,Heatmap_Jet,0.3753362643343108,10.561369322134047,5.887443791208586,0.2369462549686432,0.20364709710623102,True
dataset/train/aneurysm/80_4.jpg,Heatmap_Jet,0.4420696007533993,10.497085666065889,5.886013407920409,0.23961471021175385,0.2360943723307442,True
dataset/train/aneurysm/80_7.jpg,Heatmap_Jet,0.3013203098187029,10.721719310637676,5.8237042299708195,0.23148006200790405,0.1686944583715967,True
dataset/train/aneurysm/80_8.jpg,Heatmap_Jet,0.5677574085587029,12.152745243268122,5.073229364604781,0.2018718123435974,0.3164208132702407,True
dataset/train/aneurysm/80_9.jpg,Heatmap_Jet,0.2950065629043236,6.60814782715144,5.5029737264065055,0.37319812178611755,0.11251254405784691,True
dataset/train/aneurysm/80_9.jpg,LUT_Autumn,0.8484787326960558,20.03223250181158,5.144368486883941,0.06844593584537506,0.5307435741898224,True
dataset/train/cancer/0_11.jpg,CLAHE,0.8414341858358635,28.143079044615074,3.9552134757072857,0.024858932942152023,0.5846037805971918,True
dataset/train/cancer/10_11.jpg,CLAHE,0.8271413072887815,28.643757102182654,4.253786792494338,0.026315324008464813,0.5801701314557938,True
dataset/train/cancer/11_11.jpg,CLAHE,0.8260349480954653,29.359097974732094,4.267006306645665,0.02501259557902813,0.5841695427803196,True
dataset/train/cancer/12_11.jpg,CLAHE,0.8204074013986332,29.06274589126324,4.288478176775944,0.026079095900058746,0.5793643568668843,True
dataset/train/cancer/13_11.jpg,CLAHE,0.822041793478935,29.667815934832575,4.130376061156091,0.024562640115618706,0.5841152643253392,True
dataset/train/cancer/14_11.jpg,CLAHE,0.8115677669375242,29.386111017359774,4.142616350433469,0.025734219700098038,0.5769537056329012,True
dataset/train/cancer/15_11.jpg,CLAHE,0.8144528109110434,29.60804220070716,4.146272512850419,0.025217602029442787,0.5798311382538761,True
dataset/train/cancer/16_11.jpg,CLAHE,0.8181962808073949,29.742910150904585,4.000614132875769,0.02475879155099392,0.5826038429989262,True
dataset/train/cancer/17_11.jpg,CLAHE,0.8209081769631387,29.92176815722516,3.998666517319191,0.024030154570937157,0.5851786665107329,True
dataset/train/cancer/18_11.jpg,CLAHE,0.8230142234069532,29.620403283007114,3.8758250006248196,0.024388780817389488,0.5843517752380414,True
dataset/train/cancer/19_11.jpg,CLAHE,0.8259919027168349,29.60740035063827,4.07023287640701,0.02443741448223591,0.5857528705657999,True
dataset/train/cancer/1_11.jpg,CLAHE,0.836530985893687,26.89321038017912,4.004164947684704,0.027285590767860413,0.5741676370743461,True
dataset/train/cancer/20_11.jpg,CLAHE,0.823315553699457,29.37232671363656,4.28766877110886,0.02513999119400978,0.5828637388927459,True
dataset/train/cancer/21_11.jpg,CLAHE,0.8257218539010832,29.15369030268026,4.396106471339602,0.025946300476789474,0.5825938086712653,True
dataset/train/cancer/22_11.jpg,CLAHE,0.8294015887411587,28.666210699442022,4.4715073835335994,0.02688622660934925,0.5813208132453616,True
dataset/train/cancer/22_11.jpg,LUT_Autumn,0.3942282613732102,14.69929162237465,3.8489491937050477,0.17216071486473083,0.2508777374479068,True
dataset/train/cancer/22_2.jpg,LUT_Autumn,0.6071463422348531,15.1773401140522,3.927601115703768,0.1633952260017395,0.3619581666013918,True
dataset/train/cancer/23_11.jpg,CLAHE,0.8364933171617275,28.2694443041498,4.644111990511068,0.027582863345742226,0.5823467517366141,True
dataset/train/cancer/23_11.jpg,LUT_Autumn,0.4144165287263014,14.81911399110595,4.001977438465211,0.1686817854642868,0.26238659121692903,True
dataset/train/cancer/23_2.jpg,LUT_Autumn,0.6176234961919528,15.264432186075716,4.050188146139283,0.16091156005859375,0.36821602920071195,True
dataset/train/cancer/23_4.jpg,Heatmap_Jet,0.7339494911205543,16.071223926273092,3.9276376292451243,0.07498623430728912,0.4484048422564579,True
dataset/train/cancer/23_4.jpg,LUT_Autumn,0.6114253886449675,15.327669310247858,3.9599497536989205,0.15794941782951355,0.36608882661806824,True
dataset/train/cancer/24_1.jpg,Heatmap_Jet,0.7614670680986841,16.91822804901403,3.828477155320844,0.06305068731307983,0.4696327648808103,True
dataset/train/cancer/24_1.jpg,LUT_Autumn,0.6041019147057959,15.19027821353558,3.8327411526902795,0.1623917818069458,0.36071427027272224,True
dataset/train/cancer/24_10.jpg,Heatmap_Jet,0.7614670680986841,16.91822804901403,3.828477155320844,0.06305068731307983,0.4696327648808103,True
dataset/train/cancer/24_10.jpg,LUT_Autumn,0.6041019147057959,15.19027821353558,3.8327411526902795,0.1623917818069458,0.36071427027272224,True
dataset/train/cancer/24_11.jpg,CLAHE,0.8466319116875819,29.63830973196228,4.579056835856243,0.02456294186413288,0.596233225862738,True
dataset/train/cancer/24_11.jpg,LUT_Autumn,0.43061756177182525,14.929289004359504,4.030764471644815,0.16608108580112457,0.2716682977518447,True
dataset/train/cancer/24_12.jpg,Heatmap_Jet,0.7614670680986841,16.91822804901403,3.828477155320844,0.06305068731307983,0.4696327648808103,True
dataset/train/cancer/24_12.jpg,LUT_Autumn,0.6041019147057959,15.19027821353558,3.8327411526902795,0.1623917818069458,0.36071427027272224,True
dataset/train/cancer/24_2.jpg,LUT_Autumn,0.6210615047111647,15.266220999314907,4.086972231663359,0.16116133332252502,0.3698958116869668,True
dataset/train/cancer/24_3.jpg,Heatmap_Jet,0.7614670680986841,16.91822804901403,3.828477155320844,0.06305068731307983,0.4696327648808103,True
dataset/train/cancer/24_3.jpg,LUT_Autumn,0.6041019147057959,15.19027821353558,3.8327411526902795,0.1623917818069458,0.36071427027272224,True
dataset/train/cancer/24_4.jpg,Heatmap_Jet,0.7397210144778087,16.317191685040886,4.009456189365694,0.07254327833652496,0.4532550016818447,True
dataset/train/cancer/24_4.jpg,LUT_Autumn,0.6160935603498772,15.33523669611455,4.003897962734181,0.1581307053565979,0.3684320592803063,True
dataset/train/cancer/25_1.jpg,Heatmap_Jet,0.7885426198814662,17.486117510340765,3.8360397360922747,0.05720668286085129,0.4877466784306074,True
