image,method,ssim,psnr,entropy,mean_diff,score
dataset/train/aneurysm/0_1.jpg,EdgeEnhanced,0.9755042664875471,29.307143000141537,2.816649543549063,0.007807303220033646,0.662033530600616
dataset/train/aneurysm/0_1.jpg,CLAHE,0.9657689269941315,28.494325167609887,3.564826464917219,0.022489961236715317,0.649352422255382
dataset/train/aneurysm/0_1.jpg,Gamma,0.8856260262546229,30.24867611484511,2.7259938171203753,0.028944609686732292,0.6185161478790356
dataset/train/aneurysm/0_1.jpg,Heatmap_Jet,0.8731113775382601,19.417278060220838,2.5246273215062622,0.03626926243305206,0.5458055046438447
dataset/train/aneurysm/0_1.jpg,LUT_Autumn,0.5273461539682587,14.68611089917136,2.536937499550526,0.17772600054740906,0.3162445422696757
dataset/train/aneurysm/0_10.jpg,EdgeEnhanced,0.9755042664875471,29.307143000141537,2.816649543549063,0.007807303220033646,0.662033530600616
dataset/train/aneurysm/0_10.jpg,CLAHE,0.9657689269941315,28.494325167609887,3.564826464917219,0.022489961236715317,0.649352422255382
dataset/train/aneurysm/0_10.jpg,Gamma,0.8856260262546229,30.24867611484511,2.7259938171203753,0.028944609686732292,0.6185161478790356
dataset/train/aneurysm/0_10.jpg,Heatmap_Jet,0.8731113775382601,19.417278060220838,2.5246273215062622,0.03626926243305206,0.5458055046438447
dataset/train/aneurysm/0_10.jpg,LUT_Autumn,0.5273461539682587,14.68611089917136,2.536937499550526,0.17772600054740906,0.3162445422696757
dataset/train/aneurysm/0_11.jpg,EdgeEnhanced,0.9810374773451326,30.788071383799135,2.751507604493138,0.005971861071884632,0.6740527947609842
dataset/train/aneurysm/0_11.jpg,Gamma,0.8553850274588265,34.3801636276355,2.6010905185833035,0.012516405433416367,0.6314702144085429
dataset/train/aneurysm/0_11.jpg,CLAHE,0.8327370890957445,30.22890717918439,2.985294541870354,0.02150893583893776,0.5934402004551911
dataset/train/aneurysm/0_11.jpg,Heatmap_Jet,0.4962051335974418,12.582715708013822,2.349472891644793,0.10279277712106705,0.3030403056225904
dataset/train/aneurysm/0_11.jpg,LUT_Autumn,0.2949660946448226,14.289858760960183,2.647575253886715,0.18496736884117126,0.19622872611993813
dataset/train/aneurysm/0_12.jpg,EdgeEnhanced,0.9755042664875471,29.307143000141537,2.816649543549063,0.007807303220033646,0.662033530600616
dataset/train/aneurysm/0_12.jpg,CLAHE,0.9657689269941315,28.494325167609887,3.564826464917219,0.022489961236715317,0.649352422255382
dataset/train/aneurysm/0_12.jpg,Gamma,0.8856260262546229,30.24867611484511,2.7259938171203753,0.028944609686732292,0.6185161478790356
dataset/train/aneurysm/0_12.jpg,Heatmap_Jet,0.8731113775382601,19.417278060220838,2.5246273215062622,0.03626926243305206,0.5458055046438447
dataset/train/aneurysm/0_12.jpg,LUT_Autumn,0.5273461539682587,14.68611089917136,2.536937499550526,0.17772600054740906,0.3162445422696757
dataset/train/aneurysm/0_2.jpg,EdgeEnhanced,0.9744446332796168,28.96969573367582,2.8660776960714744,0.008546252734959126,0.6593312404948716
dataset/train/aneurysm/0_2.jpg,CLAHE,0.9712853542532087,28.74331774060751,3.8128296682814615,0.02170589752495289,0.6537614040652588
dataset/train/aneurysm/0_2.jpg,Gamma,0.8903824989862525,29.81809561025011,2.7911101696274376,0.030472001060843468,0.6180054229424583
dataset/train/aneurysm/0_2.jpg,Heatmap_Jet,0.8652576169134392,19.2533177771991,2.397906214972642,0.0404922179877758,0.540050271522359
dataset/train/aneurysm/0_2.jpg,LUT_Autumn,0.5475128362478702,14.756263430445486,2.709299679930575,0.17631959915161133,0.3270300788762857
dataset/train/aneurysm/0_3.jpg,EdgeEnhanced,0.9755042664875471,29.307143000141537,2.816649543549063,0.007807303220033646,0.662033530600616
dataset/train/aneurysm/0_3.jpg,CLAHE,0.9657689269941315,28.494325167609887,3.564826464917219,0.022489961236715317,0.649352422255382
dataset/train/aneurysm/0_3.jpg,Gamma,0.8856260262546229,30.24867611484511,2.7259938171203753,0.028944609686732292,0.6185161478790356
dataset/train/aneurysm/0_3.jpg,Heatmap_Jet,0.8731113775382601,19.417278060220838,2.5246273215062622,0.03626926243305206,0.5458055046438447
dataset/train/aneurysm/0_3.jpg,LUT_Autumn,0.5273461539682587,14.68611089917136,2.536937499550526,0.17772600054740906,0.3162445422696757
dataset/train/aneurysm/0_4.jpg,EdgeEnhanced,0.9881896426199248,31.453774542097385,2.873077590351683,0.0057932245545089245,0.681658823651645
dataset/train/aneurysm/0_4.jpg,CLAHE,0.9716777870563859,30.43385359644361,3.9116491182924324,0.018990524113178253,0.664643910284219
dataset/train/aneurysm/0_4.jpg,Gamma,0.8864436801557017,30.044012608109483,2.8598834601336454,0.02946620061993599,0.6175926756025206
dataset/train/aneurysm/0_4.jpg,Heatmap_Jet,0.847424238456264,18.564287980098815,2.6576495187745834,0.044018372893333435,0.5262941725300582
dataset/train/aneurysm/0_4.jpg,LUT_Autumn,0.5338953320620194,14.792168392834258,2.655801467567614,0.17413918673992157,0.32087283904003094
dataset/train/aneurysm/0_7.jpg,EdgeEnhanced,0.9747602808056072,29.31152660952186,2.7554245161181625,0.0076891412027180195,0.6617114718193912
dataset/train/aneurysm/0_7.jpg,CLAHE,0.9631617110503158,28.10805517467606,3.351260071439524,0.02361677959561348,0.6455058306540916
dataset/train/aneurysm/0_7.jpg,Gamma,0.8847755259911068,30.323792307677927,2.6529977685403416,0.028750991448760033,0.6185803185518689
dataset/train/aneurysm/0_7.jpg,Heatmap_Jet,0.8816398875487029,19.890031508028795,2.454831120431073,0.03348812460899353,0.5534625079007255
dataset/train/aneurysm/0_7.jpg,LUT_Autumn,0.523708556525954,14.658631856887814,2.4672071872635764,0.17853409051895142,0.31409925130051364
dataset/train/aneurysm/0_8.jpg,EdgeEnhanced,0.9752290170250341,30.518625781084722,2.539985900072031,0.006611004937440157,0.6694040622115374
dataset/train/aneurysm/0_8.jpg,CLAHE,0.9752036396128108,30.70728547476936,3.6161325648653273,0.021708548069000244,0.6675038230412215
dataset/train/aneurysm/0_8.jpg,Gamma,0.9155989578700438,28.412352996463916,2.5501480474327334,0.03698069602251053,0.6208774577093032
dataset/train/aneurysm/0_8.jpg,Heatmap_Jet,0.8100577132415852,16.201445073484997,2.315709849205971,0.07732590287923813,0.48677234648585493
dataset/train/aneurysm/0_8.jpg,LUT_Autumn,0.6623828444909207,15.240514074173262,2.510197687981083,0.16556227207183838,0.38952205227613224
dataset/train/aneurysm/0_9.jpg,EdgeEnhanced,0.9845036329590761,30.936782604604616,2.6285097556984427,0.005292962305247784,0.6768139196461161
dataset/train/aneurysm/0_9.jpg,CLAHE,0.9335479397283583,30.639549244816155,3.2383411030380453,0.020584091544151306,0.6464944470242457
