method,ssim,psnr,entropy,mean_diff,score
CLAHE,0.9256576205720087,28.409091536130333,4.748601567745786,0.026190808812059575,0.6280451977403745
EdgeEnhanced,0.9638226790156781,31.04771005606814,3.7150128751341014,0.00714406468605688,0.6667687869070366
Gamma,0.9070851865356196,29.013247203885545,3.7255384131524774,0.033274069002808375,0.6209672626905615
Heatmap_Jet,0.6479810228402543,16.802664346215312,3.4458833639029867,0.09135330652666668,0.40653583619208566
LUT_Autumn,0.6136049979515033,15.799834763756856,3.4803736649960166,0.1482198858237127,0.37195753039355023
